,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region_recod
78,0.77399999,IRN,3,12889.28,75.1500015258789,6.199999809265138,3.0124309062957764,2.9541900157928467,80.731201171875,NorthAfrica
32,0.34700000000000003,CAF,4,690.03998,,6.9000000953674325,,1.22393000125885,13.60074996948242,SubSaharian
50,0.71799999,DOM,2,10376.63,,7.5999999046325675,2.636394500732422,,65.45761108398439,LatAm
191,0.70200002,WSM,9,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984,Pacific
181,0.74800003,UKR,1,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576903,88.56585693359375,EastEurope
29,0.514,CMR,4,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125,SubSaharian
28,0.55800003,KHM,7,1927.0601,14.60499954223633,7.5,3.17626953125,1.901970028877258,,SouthEastAsia
58,0.89300001,FIN,5,36958.211,5.427000045776367,2.299999952316284,5.859115123748778,7.168099880218506,94.00318145751952,WesternDem
159,,SOM,4,1436.74,,9.199999809265137,,,,SubSaharian
21,0.70599997,BLZ,10,6649.1401,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484,Caribbean
73,0.62300003,HND,2,3303.1399,,6.9000000953674325,3.1801576614379883,5.86775016784668,49.259361267089844,LatAm
53,0.58200002,GNQ,4,15412.43,,6.0,,,,SubSaharian
90,0.89899999,KOR,6,33181.891,50.74700164794922,3.5,3.6152341365814213,5.052110195159912,96.77686309814452,EastAsia
163,0.42100000000000004,SSD,4,,,6.9000000953674325,,1.7129700183868408,,SubSaharian
96,0.82800001,LVA,1,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125,EastEurope
135,0.73699999,PER,2,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969,LatAm
84,0.72899997,JAM,10,4668.77,2.799000024795532,7.800000190734862,3.711759328842163,6.024670124053955,73.51493835449219,Caribbean
