,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop
120,0.55500001,NPL,8,1462.08,28.17499923706055
144,0.493,RWA,4,1440.39,10.19999980926514
105,0.70099998,MDV,8,13349.76,0.335999995470047
103,0.47299999,MWI,4,938.3499800000001,17.60400009155273
9,0.89200002,AUT,5,38868.039,8.543999671936035
54,0.44100001,ETH,4,900.7700199999999,88.34700012207031
6,0.75800002,AZE,1,9793.3096,9.342000007629396
46,0.875,CZE,1,23847.08,10.51200008392334
130,0.78299999,PLW,9,9392.5996,0.0179999992251396
47,0.48100001,BEN,4,1413.05,10.31999969482422
151,0.491,SEN,4,1527.99,
33,0.764,LKA,8,5466.8701,20.54100036621094
79,0.64899999,IRQ,3,4178.2598,32.57799911499023
53,0.58200002,GNQ,4,15412.43,
124,0.64200002,NIC,2,2527.1001,5.946000099182129
167,0.90899998,SWE,5,39000.91,9.645000457763672
104,0.787,MYS,7,12284.27,30.70899963378906
57,0.73400003,FJI,9,3848.72,0.8799999952316284
111,,MCO,5,108481.13,
25,0.55199999,MMR,7,5733.3701,51.41899871826172
0,0.479,AFG,8,1282.64,29.82500076293945
117,0.79500002,OMN,3,26158.73,3.717000007629395
8,0.93699998,AUS,5,38611.949,23.62100028991699
64,0.92400002,DEU,5,39486.699,80.98300170898438
186,0.91799998,USA,5,47769.699,318.7890014648438
36,0.73400003,CHN,6,9283.3799,
147,0.72000003,VCT,10,7454.8799,0.1099999994039536
93,0.58200002,LAO,7,2926.77,6.8979997634887695
159,,SOM,4,1436.74,
84,0.72899997,JAM,10,4668.77,2.799000024795532
18,0.74699998,BIH,1,8507.6504,3.871000051498413
5,0.78399998,ATG,10,12257.71,
19,0.69800001,BWA,4,12770.73,
3,0.85699999,AND,5,32367.33,
80,0.92000002,IRL,5,46422.07,4.620999813079834
189,0.69700003,UZB,1,7370.7202,29.74600028991699
106,0.43799999,MLI,4,1063.26,14.854000091552729
176,0.72299999,TUN,3,6912.2798,
51,0.73900002,ECU,2,7259.52,15.774999618530268
187,0.39899999,BFA,4,1095.96,16.5
134,0.69199997,PRY,2,4812.9199,6.559000015258789
92,0.662,KGZ,1,3010.24,5.894999980926514
85,0.90200001,JPN,6,36123.77,127.12000274658199
28,0.55800003,KHM,7,1927.0601,14.60499954223633
102,0.51099998,MDG,4,822.62,
10,0.79000002,BHS,10,21672.029,0.3560000061988831
44,0.773,CUB,2,5899.9399,
112,0.73299998,MNG,6,6277.8999,2.881999969482422
170,0.625,TJK,1,3592.6499,8.131999969482424
181,0.74800003,UKR,1,9326.7197,42.7599983215332
121,0.92299998,NLD,5,42258.352,16.86499977111816
123,0.91299999,NZL,5,26481.369,4.554999828338623
157,0.67799997,VNM,7,4147.5698,89.69100189208984
38,0.72399998,COL,2,8761.1396,47.6619987487793
67,0.86500001,GRC,5,25295.27,10.927000045776369
177,0.764,TUR,3,16900.711,77.69599914550781
164,0.48800001,SDN,4,,
21,0.70599997,BLZ,10,6649.1401,0.3499999940395355
49,0.72399998,DMA,10,12613.72,
142,0.79799998,ROU,1,14563.14,19.95299911499023
146,0.73500001,LCA,10,11095.8,0.1669999957084656
17,0.6709999999999999,BOL,2,4023.8701,10.07800006866455
173,0.71799999,TON,9,3962.0601,0.1040000021457672
132,0.78500003,PAN,2,15137.04,3.788000106811523
13,0.741,ARM,1,6451.9399,2.9800000190734863
50,0.71799999,DOM,2,10376.63,
150,0.84500003,SAU,3,20872.711,30.770000457763672
14,0.79400003,BRB,10,22888.971,0.2790000140666962
178,0.68800002,TKM,1,13217.39,
71,0.63800001,GUY,10,2042.8199,0.7559999823570251
166,0.54100001,SWZ,4,4110.0498,1.105999946594238
179,,TUV,9,3174.05,0.0109999999403954
58,0.89300001,FIN,5,36958.211,5.427000045776367
30,0.91900003,CAN,5,36577.078,35.49599838256836
70,0.414,GIN,4,993.8300199999999,11.74499988555908
66,0.58600003,KIR,9,1532.65,0.1070000007748604
99,0.91100001,LIE,5,102243.52,
107,0.85299999,MLT,5,24094.641,0.42500001192092896
40,0.58999997,COG,4,2369.8401,
32,0.34700000000000003,CAF,4,690.03998,
1,0.76200002,ALB,1,8516.7002,
59,0.89399999,FRA,5,34007.898,64.02799987792969
43,0.82300001,HRV,1,18020.41,4.23799991607666
16,0.60399997,BTN,8,5639.02,0.765999972820282
35,0.84500003,CHL,2,15519.08,17.81900024414063
133,0.51499999,PNG,9,1693.54,6.880000114440918
163,0.42100000000000004,SSD,4,,
152,0.77499998,SRB,1,11343.92,7.166999816894531
90,0.89899999,KOR,6,33181.891,50.74700164794922
91,0.79900002,KWT,3,64342.710999999996,3.999000072479248
27,0.79799998,BLR,1,17780.641,9.468000411987305
116,0.414,MOZ,4,852.39001,25.73299980163574
76,0.61500001,IND,8,4256.79,
183,0.68800002,EGY,3,5598.2598,86.69999694824219
78,0.77399999,IRN,3,12889.28,75.1500015258789
182,0.74599999,MKD,1,9610.5996,2.069000005722046
184,0.90799999,GBR,5,34791.051,64.59700012207031
